Result,Move_ply_1,Move_ply_2,Move_ply_3,Move_ply_4,Move_ply_5,Move_ply_6,Move_ply_7,Move_ply_8,Move_ply_9,Move_ply_10,Move_ply_11,Move_ply_12,Move_ply_13,Move_ply_14,Move_ply_15,Move_ply_16,Move_ply_17,Move_ply_18,Move_ply_19,Move_ply_20,Move_ply_21,Move_ply_22,Move_ply_23,Move_ply_24,Move_ply_25,Move_ply_26,Move_ply_27,Move_ply_28,Move_ply_29,Move_ply_30,Move_ply_31,Move_ply_32,Move_ply_33,Move_ply_34,Move_ply_35,Move_ply_36,Move_ply_37,Move_ply_38,Move_ply_39,Move_ply_40,Move_ply_41,Move_ply_42,Move_ply_43,Move_ply_44,Move_ply_45,Move_ply_46,Move_ply_47,Move_ply_48,Move_ply_49,Move_ply_50,Move_ply_51,Move_ply_52,Move_ply_53,Move_ply_54,Move_ply_55,Move_ply_56,Move_ply_57,Move_ply_58,Move_ply_59,Move_ply_60,Move_ply_61,Move_ply_62,Move_ply_63,Move_ply_64,Move_ply_65,Move_ply_66,Move_ply_67,Move_ply_68,Move_ply_69,Move_ply_70,Move_ply_71,Move_ply_72,Move_ply_73,Move_ply_74,Move_ply_75,Move_ply_76,Move_ply_77,Move_ply_78,Move_ply_79,Move_ply_80,Move_ply_81,Move_ply_82,Move_ply_83,Move_ply_84,Move_ply_85,Move_ply_86,Move_ply_87,Move_ply_88,Move_ply_89,Move_ply_90,Move_ply_91,Move_ply_92,Move_ply_93,Move_ply_94,Move_ply_95,Move_ply_96,Move_ply_97,Move_ply_98,Move_ply_99,Move_ply_100,Move_ply_101,Move_ply_102,Move_ply_103,Move_ply_104,Move_ply_105,Move_ply_106,Move_ply_107,Move_ply_108,Move_ply_109,Move_ply_110,Move_ply_111,Move_ply_112,Move_ply_113,Move_ply_114,Move_ply_115,Move_ply_116,Move_ply_117,Move_ply_118,Move_ply_119,Move_ply_120,Move_ply_121,Move_ply_122,Move_ply_123,Move_ply_124,Move_ply_125,Move_ply_126,Move_ply_127,Move_ply_128,Move_ply_129,Move_ply_130,Move_ply_131,Move_ply_132,Move_ply_133,Move_ply_134,Move_ply_135,Move_ply_136,Move_ply_137,Move_ply_138,Move_ply_139,Move_ply_140,Move_ply_141,Move_ply_142,Move_ply_143,Move_ply_144,Move_ply_145,Move_ply_146,Move_ply_147,Move_ply_148,Move_ply_149,Move_ply_150,Move_ply_151,Move_ply_152,Move_ply_153,Move_ply_154,Move_ply_155,Move_ply_156,Move_ply_157,Move_ply_158,Move_ply_159,Move_ply_160,Move_ply_161,Move_ply_162,Move_ply_163,Move_ply_164,Move_ply_165,Move_ply_166,Move_ply_167,Move_ply_168,Move_ply_169,Move_ply_170,Move_ply_171,Move_ply_172,Move_ply_173,Move_ply_174,Move_ply_175,Move_ply_176,Move_ply_177,Move_ply_178,Move_ply_179,Move_ply_180,Move_ply_181,Move_ply_182,Move_ply_183,Move_ply_184,Move_ply_185,Move_ply_186,Move_ply_187,Move_ply_188,Move_ply_189,Move_ply_190,Move_ply_191,Move_ply_192,Move_ply_193,Move_ply_194,Move_ply_195,Move_ply_196,Move_ply_197,Move_ply_198,Move_ply_199,Move_ply_200
1-0,d4,d5,c4,c6,Nc3,Nf6,Bg5,e6,e3,Nbd7,Nf3,Qa5,cxd5,Nxd5,Qc2,Bb4,Rc1,Qxa2,Be2,Nxc3,bxc3,Qxc2,Rxc2,Be7,Bxe7,Kxe7,O-O,Nf6,Bd3,h6,Rb1,Nd5,c4,Nf6,e4,Bd7,Rxb7,Rhb8,Rcb2,Rxb7,Rxb7,Ne8,Ne5,Nf6,Nxc6+,Kd6,Ne5,a5,Nxf7+,Ke7,Ne5,Kd6,c5+,Ke7,Bb5,a4,Nxd7,Nxd7,Rxd7+,Kf6,Bc4,a3,f4,a2,Bxa2,Rxa2,c6,Rc2,d5,g5,e5+,Kf5,c7,Ke4,d6,Ke3,h3,gxf4,Rd8,f3,c8=Q,Rxg2+,Kh1,f2,Qc3+,Kf4,Rf8+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d3,d5,e3,c6,Be2,Nf6,Nc3,Nbd7,Bd2,e5,Nf3,Bd6,h3,O-O,Nh2,Re8,O-O,Nf8,f4,e4,d4,b6,Ng4,Bb7,Ne5,Ng6,a4,c5,Nb5,Bb8,Nxg6,hxg6,c3,a6,Na3,cxd4,cxd4,Bd6,Nc2,Rc8,b4,Qe7,b5,a5,Ne1,Rc7,Rc1,Rec8,Rxc7,Rxc7,Qb3,Ne8,g4,Qh4,Kg2,g5,Nc2,Nf6,Be1,Qh6,f5,Nd7,Na3,Rc8,Bf2,Bb8,Qb2,Qd6,Rc1,Qh2+,Kf1,Qh1+,Bg1,Qxh3+,Ke1,Qg3+,Bf2,Rxc1+,Qxc1,Qh3,Qd1,Qh1+,Bf1,Bg3,Bxg3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,g3,d5,Bg2,e5,b3,Nf6,Bb2,Bd6,Nf3,Nbd7,Nc3,c6,e3,O-O,Qe2,Qc7,h4,e4,Ng5,h6,Nh3,Ne5,O-O-O,a5,Nf4,b5,Nxb5,cxb5,Qxb5,Bd7,Qe2,Rac8,c3,a4,Qa6,axb3,a3,Ra8,Qe2,Bxa3,g4,Bxb2+,Kxb2,Ra2+,Kxb3,Rfa8,g5,R8a3+,Kb4,Qa5#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,e6,Nf3,d5,e3,f5,Nbd2,Nf6,c4,c6,Be2,Bd6,O-O,O-O,c5,Be7,b4,Ne4,Bb2,b6,Nxe4,fxe4,Ne5,bxc5,dxc5,Bf6,Rb1,Bxe5,Bxe5,Nd7,Bc3,Qc7,a3,Rf5,h3,Nf8,Bg4,Rg5,h4,Rg6,h5,Rg5,f4,Rxg4,Qxg4,e5,Qg3,exf4,Rxf4,Ne6,Rg4,Qxg3,Rxg3,Ba6,h6,g6,a4,Bd3,Ra1,Rf8,a5,Rf5,a6,Rh5,Rh3,Rg5,Rg3,Rxg3,Be5,Rxe3,Bb8,Bb5,Bxa7,Rb3,Bb8,Rxb4,a7,e3,a8=Q,e2,Bg3+,Kf7,Ra7+,Kf6,Qh8+,Kf5,Qe5+,Kg4,Qxe6+,Kxg3,Ra3+,Kf4,Rf3+,Kg5,Qe5+,Kxh6,Rh3+,Rh4,Rxh4#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,Nc3,Bg7,Be3,e6,Qd2,Nge7,Bc4,O-O,h4,h5,f3,a6,O-O-O,b5,Bb3,b4,Na4,a5,g4,Ne5,gxh5,gxh5,Rhg1,N7g6,f4,Ng4,f5,exf5,exf5,Nxe3,Qxe3,Ne7,Qh6,Nxf5,Nxf5,Qf6,Qxf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c5,Nf3,Nc6,c3,e6,d4,cxd4,cxd4,d5,e5,f6,Nc3,fxe5,dxe5,Nge7,Bb5,Bd7,O-O,Ng6,Re1,Bb4,a3,Bxc3,bxc3,O-O,c4,a6,Ba4,dxc4,Bb2,b5,Bc2,Nce7,Be4,Rb8,Qd6,Rb6,Qc5,Bc6,Rad1,Qc7,Bxc6,Rxc6,Qe3,Nd5,Qe4,Rf4,Qe2,c3,Ba1,c2,Rc1,Ra4,Qd3,Ngf4,Qb3,Rac4,Nd4,Rb6,Nxc2,a5,Red1,Ne2+,Kf1,Nxc1,Rxc1,a4,Qd3,Rbc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,d5,exd5,Nf6,Nc3,Nxd5,Nxd5,Qxd5,Nf3,Bg4,c4,Qd7,Be2,Nc6,d4,e6,Be3,Bb4+,Bd2,Bxd2+,Qxd2,Bxf3,Bxf3,Qxd4,Qxd4,Nxd4,Bxb7,Rb8,Be4,Rxb2,O-O-O,Rxa2,Rxd4,Ra1+,Bb1,O-O,Kb2,Ra4,Rhd1,Rb8+,Kc3,Ra3+,Kc2,h6,Rd7,Rb7,Kc1,Rab3,Rd8#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e6,d4,d5,Nc3,c5,Bb5+,Bd7,exd5,Bxb5,Nxb5,c4,dxe6,fxe6,Qe2,Be7,Qxe6,Nc6,Bg5,Nf6,Bxf6,gxf6,O-O-O,a6,Nc3,b5,Qxc6+,Kf8,Nf3,b4,Nd5,c3,b3,Rc8,Qe6,a5,Rhe1,Kg7,Nxe7,Re8,Qg4+,Kf7,Qh5+,Kg7,Nf5+,Kh8,Qf7,Rg8,Re7,Qxe7,Qxe7,Rce8,Qxf6+,Rg7,Qxg7#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c6,Nf3,d5,exd5,cxd5,d4,Nc6,Nc3,Nf6,Bg5,e6,Be2,Be7,Ne5,Nxd4,Qxd4,O-O,Be3,b6,Nc6,Qd7,Nxe7+,Qxe7,O-O,Bb7,Bd3,Rfc8,Qh4,g6,Bg5,Kg7,Bxf6+,Qxf6,Qxf6+,Kxf6,Rfe1,a6,f3,b5,a3,Bc6,Re2,Bd7,Rae1,Rab8,g4,h6,f4,Re8,Rf1,Rbc8,Ref2,Kg7,f5,gxf5,gxf5,exf5,Bxf5,Bxf5,Rxf5,d4,Rxf7+,Kh8,Nb1,Rg8+,Kh1,Rxc2,R7f2,d3,Rxc2,dxc2,Nc3,Rd8,Rc1,Rd2,Kg1,a5,Kf1,b4,axb4,axb4,Na2,Rd1+,Ke2,b3,Rxd1,cxd1=Q+,Kxd1,bxa2,Kc2,a1=Q,b3,Qa2+,Kc3,Qxh2,Kc4,Qb8,b4,h5,b5,h4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,d5,c4,e6,Nc3,Nf6,Bg5,Be7,Nf3,Bd7,e3,Ne4,Bxe7,Qxe7,Nxe4,dxe4,Ne5,f5,Qb3,Nc6,Qxb7,Rb8,Qxc7,O-O,Nxc6,Bxc6,Qxe7,Rxb2,Qxe6+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,Nf3,Nf6,c4,e6,Nc3,d5,cxd5,exd5,d4,c6,Bg5,Be7,g3,h6,Bxf6,Bxf6,e3,O-O,Be2,Bf5,O-O,Nd7,Rc1,Qb6,b3,a5,a4,Rfe8,Bd3,Bxd3,Qxd3,Rab8,Rb1,Be7,Ne2,Bd6,Nh4,Nf6,Nf5,Bf8,f3,Kh8,g4,Qd8,Nf4,g6,Ng3,Kg7,Kg2,Bd6,h4,Bxf4,exf4,Nh7,h5,Nf8,f5,g5,Rfe1,f6,Re3,Rxe3,Qxe3,Qe8,Re1,Qxe3,Rxe3,Kf7,Ne2,Nd7,Nc1,Re8,Rxe8,Kxe8,Nd3,b6,Kf2,Ke7,Ke2,Kd6,Kd2,c5,dxc5+,Nxc5,Nxc5,bxc5,Kd3,Ke5,Ke3,d4+,Kd3,Kf4,Kc4,Kxf3,Kxc5,d3,b4,axb4,Kxb4,d2,Kc3,d1=Q,Kc4,Qc2+,Kd5,Qxa4,Ke6,Qxg4,Kxf6,Qxh5,Ke6,Qe8+,Kf6,Qf8+,Kg6,g4,Kh5,g3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Nf3,Qf6,Nc3,c6,d4,d6,dxe5,dxe5,Bg5,Qd6,Qd3,h6,Be3,Bg4,O-O-O,Na6,a3,O-O-O,Kb1,Qe7,Qe2,Rxd1+,Qxd1,Nc5,h3,Be6,Nxe5,Nf6,f3,g5,Bc4,Bxc4,b3,Qxe5,bxc4,Qxc3,Bxc5,Bxc5,Qe2,Bxa3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Nf3,Nc6,d4,exd4,Bc4,Nge7,c3,dxc3,O-O,g6,Nxc3,Bg7,Qb3,O-O,Ng5,Ne5,f4,Nxc4,Qxc4,Nc6,f5,d6,fxg6,hxg6,Be3,Ne5,Qb3,Bh6,h4,Qe7,Bf4,Be6,Nd5,Bxd5,Qxd5,c6,Qb3,Bxg5,Bxg5,Qe6,Qg3,Kh7,Rf6,Qg4,Bf4,Qxg3,Bxg3,Rad8,Raf1,Kg7,b3,d5,exd5,Ng4,R6f4,Ne3,R1f3,Nxd5,Rd4,a5,Rfd3,Rfe8,Bf2,Re2,Rd2,Rxd2,Rxd2,Re8,Kh2,Re6,Kg3,Nc3,Bd4+,Kh7,Bxc3,Re3+,Kf2,Rxc3,g3,b5,Ke2,Rxg3,Rc2,Rg2+,Kd3,Rxc2,Kxc2,f5,Kd3,Kh6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c5,Nf3,Nc6,Bc4,e6,Nc3,Nf6,d3,d5,exd5,exd5,Bxd5,Nxd5,Nxd5,Qxd5,O-O,Bd6,Qe2+,Ne7,Re1,Be6,c4,Qh5,h3,O-O,g4,Bxg4,hxg4,Qxg4+,Kh1,Qh3+,Kg1,Ng6,Qf1,Qh2+,Nxh2,Bxh2+,Kxh2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c5,Bc4,Nc6,Bxf7+,Kxf7,c3,Nf6,d4,cxd4,cxd4,Nxe4,Qh5+,g6,Qd5+,e6,Qxe4,Bg7,Nf3,Rf8,Ng5+,Kg8,Qh4,h6,Ne4,Qxh4,O-O,Qxe4,Be3,Nxd4,Nc3,Qc2,Rac1,Qxb2,Ne4,Ne2+,Kh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,Nf6,c4,d5,Nc3,e6,Bg5,Be7,e3,O-O,Nf3,b6,Bxf6,Bxf6,cxd5,exd5,Bd3,Bg4,Qb3,c6,h3,Bxf3,gxf3,Bh4,Qc2,g6,Ne2,Nd7,Qxc6,Nf6,e4,Rc8,Qa4,Re8,e5,Nh5,f4,f6,Kf1,fxe5,dxe5,Bxf2,Kxf2,Qh4+,Kg2,Rxe5,Qd7,Rxe2+,Bxe2,Nxf4+,Kf1,Rf8,Rc1,Nd3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c5,d3,d6,c4,g6,Nc3,Bg7,f4,e6,Nf3,Ne7,g3,Nbc6,Bg2,a6,O-O,Rb8,a4,O-O,Be3,Nd4,Qd2,Nec6,f5,exf5,exf5,Bxf5,Bh6,Nb4,Bxg7,Kxg7,Ne1,h6,Nd5,Nxd5,Bxd5,Qg5,Qf2,Rbe8,Rd1,Re2,Qf4,Qh5,Rf2,Rxf2,Qxf2,Qxd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,d5,Nf3,Nc6,c4,e6,e3,Nf6,Nbd2,Bb4,b3,O-O,Bb2,b6,a3,Bxd2+,Qxd2,Bb7,Rc1,Ne4,Qd3,Qf6,Ne5,Qxf2+,Kd1,Qxb2,Nxc6,Bxc6,cxd5,Bxd5,Rxc7,Bxb3+,Ke1,Qf2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,Nxc6,bxc6,Nc3,Nf6,Bc4,O-O,O-O,Re8,Re1,Bb7,e5,Nd5,Qf3,Nxc3,bxc3,Rf8,Bd3,d5,Qg3,Bb6,Bh6,g6,Bxf8,Qxf8,Re2,Ba5,e6,f5,Re5,Bxc3,Bxf5,Bxe5,Qxe5,Qxf5,Qxf5,gxf5,Re1,Kf8,e7+,Ke8,h4,Ba6,f3,Rb8,g4,Rb2,gxf5,Rxa2,f6,Rxc2,f7+,Kxf7,e8=Q+,Kg7,Re7+,Kh6,Qf8+,Kh5,Rxh7+,Kg6,Qg7+,Kf5,Rh5+,Kf4,Qf7+,Ke3,Re5+,Kd4,Qf4+,Kc5,Qf8+,Kd4,f4,Rc3,Qb4+,Bc4,h5,Rb3,Qxb3,Bxb3,h6,Bc2,Re7,a5,Rxc7,a4,Ra7,Ke4,h7,Kxf4,h8=Q,d4,Re7,Bf5,Qe5+,Kg4,Rg7+,Kf3,Qxf5+,Ke2,Re7+,Kd2,Qf2+,Kc3,Rc7,a3,Rxc6+,Kb3,Qxd4,a2,Qd3+,Kb2,Rc2+,Kb1,Qd1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e5,Nf3,Bc5,d3,Nc6,Bg5,f6,Bd2,Nd4,Nxd4,Bxd4,Bc3,Bc5,Bd2,d6,Be2,Bd4,O-O,Bxb2,Nc3,Bxa1,Qxa1,Be6,Nd5,Bxd5,exd5,Qe7,Be3,O-O-O,Qb1,Kb8,Qb2,Qd7,Rb1,b6,a4,Qf5,a5,Ne7,axb6,axb6,Bxb6,cxb6,Qxb6+,Kc8,Qb7#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,g3,d5,Bg2,c6,b3,Nf6,Bb2,e6,f3,Be7,Nc3,O-O,e3,a6,Qe2,c5,h4,b5,e4,d4,Nb1,Bb7,g4,Qc7,Na3,Qf4,Nh3,Qg3+,Qf2,Qxf2+,Nxf2,Rd8,g5,b4,gxf6,Bxf6,Nc4,a5,d3,Ba6,f4,Nc6,e5,Be7,Bxc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,d5,c4,c6,Nc3,Nf6,Nf3,g6,Bg5,Bg7,cxd5,cxd5,e3,Nc6,Bd3,O-O,Qc2,Nb4,Qd2,Nxd3+,Qxd3,Bf5,Qd2,a6,Nh4,Be6,f4,Ne4,Nxe4,dxe4,O-O-O,f6,Kb1,fxg5,fxg5,Bf5,h3,e5,Nxf5,gxf5,g4,f4,exf4,exf4,h4,e3,Qe2,Qb6,h5,Bxd4,g6,hxg6,hxg6,Qxg6+,Ka1,Bg7,Qh2,Qf6,Rd6,Qxd6,Qxf4,Qxf4,Rh8+,Bxh8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c5,f4,d6,Nh3,e5,f5,Nf6,Bc4,Nxe4,d3,Nf6,Ng5,d5,Bb5+,Bd7,Bxd7+,Nbxd7,O-O,Be7,c4,d4,Nd2,O-O,Nde4,b6,Rf3,Nxe4,Nxe4,Nf6,Bg5,Nxe4,Bxe7,Qxe7,dxe4,Qb7,Qd3,a6,Raf1,b5,Rg3,bxc4,Qxc4,Qxe4,Qxc5,d3,f6,g6,Re3,Qa4,Rxd3,Qxa2,Qxe5,Rab8,Qg5,Kh8,Rd2,Rxb2,Rxb2,Qxb2,h4,Qd4+,Kh2,Qc4,h5,Qxf1,hxg6,fxg6,Qh6,Qxf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c5,Nf3,d6,c3,Bg4,h3,Bh5,Be2,Nf6,O-O,h6,a3,Nc6,d3,Rc8,d4,cxd4,cxd4,Nxe4,d5,Ne5,Qa4+,Qd7,Qxe4,Bg6,Nxe5,Bxe4,Nxd7,Kxd7,Bg4+,e6,dxe6+,fxe6,Re1,Bf5,Bxf5,exf5,Nc3,g5,Nd5,Bg7,Be3,Rhe8,Bxa7,Bxb2,Rab1,Rc2,Nb6+,Kd8,Nc4,Rxe1+,Rxe1,Rxc4,Re3,Ra4,Bb6+,Kd7,Rd3,Rxa3,Rd2,Be5,g3,Rb3,Bc5,b6,Be3,Rb2,Rd5,Kc6,Rd3,Rb1+,Kg2,d5,Kf3,b5,Ke2,b4,Kd2,b3,f4,gxf4,gxf4,Bf6,Bd4,Bxd4,Rxd4,Rh1,Rd3,b2,Rc3+,Kd6,Rb3,b1=Q,Rxb1,Rxb1,Kc2,Rh1,Kd3,Rxh3+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,d6,Nf3,g6,Nc3,Bg7,Bc4,e6,d4,Nd7,d5,Nb6,Bb5+,Bd7,Bxd7+,Nxd7,dxe6,fxe6,O-O,Ngf6,Bg5,O-O,Re1,Qc8,e5,dxe5,Nxe5,Nxe5,Rxe5,Ng4,Rxe6,Nxf2,Qd5,Kh8,Rf1,Bd4,Qxd4+,Kg8,Rxf2,Qxe6,Re2,Qf5,Qc4+,Rf7,Bh4,Qf1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,d4,d5,Bf4,a6,Nc3,Nf6,g3,e6,Be5,Bd6,Nf3,h6,e3,O-O,Qd3,Bd7,e4,dxe4,Nxe4,Nxe4,Qxe4,Bc6,Qd3,Nd7,O-O-O,Bxe5,dxe5,Nxe5,Nxe5,Bxh1,Be2,Bd5,b3,Qd6,Ng4,a5,Ne3,Rfd8,Nxd5,exd5,Qf5,a4,Bd3,g6,Qf3,axb3,cxb3,Qa3+,Kb1,Qxa2+,Kc1,Qxb3,Qe2,Ra1+,Kd2,Ra2+,Ke3,Rxe2+,Kxe2,c5,Rb1,Qa2+,Ke1,c4,Bc2,Qxc2,Rxb7,Qc1+,Ke2,c3,Kd3,Qd2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6,h3,e6,g4,d5,Bg2,Bb4,exd5,Nxd5,Bd2,Bxc3,bxc3,Qc7,O-O,O-O,Qf3,Nc6,Nb3,Ne5,Qg3,b5,Rfe1,f6,Nd4,Qb6,Rad1,Bd7,Kh2,Rac8,f4,Nc4,Bc1,Rce8,Nxe6,Bxe6,Rxe6,Rxe6,Bxd5,Kh8,Bxe6,Qxe6,Re1,Qd5,Be3,Nxe3,Qxe3,Qxa2,Re2,h6,Qe7,Qf7,Qd6,Re8,Rd2,Qc4,Qxa6,Re2+,Rxe2,Qxe2+,Kg3,Qe3+,Kg2,Qe4+,Kg3,Qxc2,Qxb5,Qxc3+,Kg2,Qd2+,Kf3,Qc3+,Kg2,Qd4,Qe8+,Kh7,Kf3,Qc3+,Qe3,Qxe3+,Kxe3,h5,Ke4,hxg4,hxg4,Kg6,Kf3,Kh6,Ke4,g6,Kd5,f5,gxf5,gxf5,Ke6,Kg6,Ke5,Kg7,Ke6,Kg6,Ke7,Kh5,Ke6,Kg4,Ke5,Kh5,Kxf5,Kh6,Ke6,Kg7,f5,Kg8,Ke7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
